project_id,nome,municipio,uf,responsabilidade,status_segundo_simec,situacao_segundo_tbrasil,logradouro,percentual_de_execucao,ano_convenio,valor_pactuado_com_o_fnde,ano_fim_vigencia_convenio,termo_convenio,data_de_entrega,tipo_data_final,tipo_do_projeto,possui_alerta,possui_resposta
1365,830167 - Escola de Educação Infantil - Tipo B - Tauá/CE,Tauá,CE,Municipal,Concluída,obra conclu�da,rua pedro inácio de sousa,100,2007,950000,"",830167/2007,2009-03-31,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1366,830361 - Escola de Educação Infantil - Tipo B - Conchas/SP,Conchas,SP,Municipal,Concluída,obra conclu�da,rua luiz sartori,100,2007,1117078.09,"",830361/2007,2009-12-28,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1367,830053 - Escola de Educação Infantil - Itararé/SP,Itararé,SP,Municipal,Concluída,obra conclu�da,rua sofia dias menck,100,2007,1024031,"",830053/2007,2014-08-22,Data oficial,Escola de Educação Infantil Tipo B,0,0
1368,710101 - Escola de Educação Infantil - Reserva do Cabaçal/MT,Reserva do Cabaçal,MT,Municipal,Concluída,obra conclu�da,rua princesa izabel,63.88,2008,950382.37,"",710101/2008,2014-01-02,Data oficial,Escola de Educação Infantil Tipo B,0,0
1370,700022 - Escola de Educação Inf - São João do Jaguaribe/CE,São João do Jaguaribe,CE,Municipal,Inacabada,paralisada e j� devia ter sido entregue,rua daniel rodrigues,36.97,2008,1200078,"",700022/2008,2014-11-25,Data oficial,Escola de Educação Infantil Tipo B,0,0
1371,830057 - Escola de Educação Infantil - Senador Sá/CE,Senador Sá,CE,Municipal,Concluída,obra conclu�da,rua nossa senhora do carmo,100,2007,953232.88,"",830057/2007,2014-07-23,Data oficial,Escola de Educação Infantil Tipo B,0,0
1372,700064 - Escola de Educação Infantil - Tipo B - Tamboril/CE,Tamboril,CE,Municipal,Concluída,obra conclu�da,rua coronel salustiano,100,2008,962392.44,"",700064/2008,,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1373,830106 - Escola de Educação Infantil - Floriano/PI,Floriano,PI,Municipal,Concluída,obra conclu�da,rua josé soares,100,2007,950000,"",830106/2007,,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1374,700012 - Escola Educação Inf - B Vila Nova - São Luis/MA,São Luís,MA,Municipal,Obra Cancelada,obra cancelada,rua nossa senhora das graças,0,2008,1661782.61,"",700012/2008,2013-02-12,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1375,700027/2008 - Escola de Educação Infantil - Itaituba/PA,Itaituba,PA,Municipal,Concluída,obra conclu�da,rodovia transamazônica,100,2008,950000,"",700027/2008,2014-06-06,Data oficial,Escola de Educação Infantil Tipo B,0,0
1376,710223 - Escola de Educação Infantil - Tururu/CE,Tururu,CE,Municipal,Concluída,obra conclu�da,rua principal,100,2008,961335.09,"",710223/2008,2009-03-23,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1377,830054 - Escola de Educação Infantil - Uruburetama/CE,Uruburetama,CE,Municipal,Obra Cancelada,obra cancelada,rua francisco ferreira fonteneles,0,2007,0,"",830054/2007,,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1378,830039 - Escola de Educação Infantil - Tipo B - Fortim/CE,Fortim,CE,Municipal,Concluída,obra conclu�da,terminal rodoviário conceição chianca,100,2007,999176.77,"",830039/2007,2009-03-21,Estimada (data contrato + execu��o cron padr�o),Escola de Educação Infantil Tipo B,0,0
1379,830014 - Escola de Educação Infantil - Açu/RN,Açu,RN,Municipal,Concluída,obra conclu�da,rua dr luiz antonio,99.07,2007,1045000,"",830014/2007,2014-09-14,Data oficial,Escola de Educação Infantil Tipo B,0,0
1380,700037 - Escola de Educação Inf - Novo Oriente do Piauí/PI,Novo Oriente do Piauí,PI,Municipal,Inacabada,paralisada e j� devia ter sido entregue,av. santo amaro,99.98,2008,244210.61,"",700037/2008,2016-12-30,Data oficial,Escola de Educação Infantil Tipo B,0,0
